id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13188,Garden level studio in ideal loc.,51466,Emma,,Riley Park,49.24773,-123.10509,Entire home/apt,160,2,292,2024-04-27,1.69,3,271,37,24-157388
13358,Designer Downtown Vancouver suite,52116,Lynn,,Downtown,49.28117370605469,-123.12593078613281,Entire home/apt,219,2,508,2024-04-07,3.01,1,147,60,24-159219
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,225,30,104,2024-03-23,0.66,1,196,6,
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,,30,33,2021-07-14,0.20,1,13,0,21-156500
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,800,5,7,2022-07-30,0.10,1,0,0,
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,,365,3,2018-02-16,0.04,5,89,0,
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,,5,203,2021-10-01,1.44,1,0,0,21-156705
18024,"Centrally located, updated 3bed/1bath garden suite",69472,Raine,,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,,30,0,,,1,0,0,
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,,30,118,2019-12-31,0.74,1,234,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,140,1,528,2024-04-28,3.36,1,55,58,24-157269
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,75,90,131,2023-06-01,0.83,4,269,1,18-573700
19621,Beautiful Yaletown Condo,74380,Shirin,,Downtown,49.27323,-123.12032,Entire home/apt,,30,2,2022-07-25,0.09,1,233,0,
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99,30,79,2023-12-20,0.46,1,118,2,
21912,PRIVATE ROOM + BATH + KING BED + dedicated entry,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,75,30,405,2024-04-14,2.60,4,90,24,24-157525
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,115,30,235,2024-04-01,1.55,4,25,11,24-157525
24273,Avalon Guest Suite in Kitsilano,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,170,30,17,2023-11-05,0.13,2,197,1,20-175617
26047,The Alpha Downtown by Comfysuites,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,,30,45,2024-04-14,0.29,3,11,6,
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,156,4,132,2024-04-12,0.84,1,209,21,24-157686
35304,Location! Location! Private Studio on “the Drive”,151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,127,3,591,2024-05-01,3.54,1,0,47,24-157240
42645,The Charlie Downtown by COMFYSUITES,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,,30,33,2022-08-21,0.20,3,33,0,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,,31,9,2016-08-22,0.06,1,0,0,
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,163,30,25,2024-04-30,0.16,1,273,6,
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,155,2,780,2024-04-09,4.88,2,241,45,
